iter	Passed	Remaining
0	12	12100
1	22	11120
2	31	10501
3	42	10580
4	52	10524
5	63	10465
6	74	10632
7	86	10688
8	96	10658
9	107	10607
10	117	10570
11	128	10543
12	138	10521
13	150	10564
14	160	10508
15	170	10476
16	181	10496
17	191	10455
18	202	10448
19	212	10411
20	222	10386
21	232	10348
22	242	10310
23	253	10312
24	264	10313
25	275	10307
26	285	10289
27	296	10308
28	306	10270
29	317	10250
30	327	10227
31	337	10200
32	347	10197
33	357	10155
34	366	10114
35	377	10098
36	386	10051
37	396	10042
38	406	10018
39	416	9987
40	425	9961
41	435	9927
42	445	9907
43	454	9875
44	464	9852
45	473	9821
46	483	9800
47	493	9780
48	502	9756
49	512	9736
50	521	9704
51	531	9683
52	541	9667
53	550	9649
54	561	9640
55	570	9624
56	581	9618
57	591	9607
58	601	9588
59	612	9592
60	622	9585
61	632	9568
62	642	9558
63	652	9547
64	662	9525
65	672	9514
66	681	9495
67	691	9481
68	702	9472
69	712	9462
70	722	9453
71	732	9434
72	742	9425
73	752	9414
74	761	9394
75	771	9385
76	782	9384
77	793	9378
78	804	9379
79	814	9366
80	824	9358
81	835	9353
82	845	9336
83	855	9329
84	864	9308
85	874	9290
86	885	9291
87	896	9287
88	906	9274
89	916	9268
90	926	9257
91	936	9245
92	947	9241
93	957	9229
94	968	9228
95	979	9222
96	989	9213
97	1000	9212
98	1012	9214
99	1023	9209
100	1034	9207
101	1044	9196
102	1054	9183
103	1065	9179
104	1076	9172
105	1086	9166
106	1097	9161
107	1108	9157
108	1118	9145
109	1128	9133
110	1139	9126
111	1150	9120
112	1160	9113
113	1171	9102
114	1181	9094
115	1192	9087
116	1202	9075
117	1213	9071
118	1224	9066
119	1235	9058
120	1245	9051
121	1256	9043
122	1266	9029
123	1277	9025
124	1288	9017
125	1297	9002
126	1307	8986
127	1318	8979
128	1329	8973
129	1340	8968
130	1350	8958
131	1360	8947
132	1371	8938
133	1381	8925
134	1391	8918
135	1403	8914
136	1412	8899
137	1423	8894
138	1434	8887
139	1445	8876
140	1456	8872
141	1465	8856
142	1476	8846
143	1487	8840
144	1497	8831
145	1507	8820
146	1518	8812
147	1529	8803
148	1540	8796
149	1550	8785
150	1559	8766
151	1569	8755
152	1579	8741
153	1588	8728
154	1598	8716
155	1609	8705
156	1618	8691
157	1628	8678
158	1639	8671
159	1650	8663
160	1659	8650
161	1669	8634
162	1678	8621
163	1688	8606
164	1698	8593
165	1707	8579
166	1717	8565
167	1726	8551
168	1736	8536
169	1746	8526
170	1756	8514
171	1765	8498
172	1775	8486
173	1784	8470
174	1793	8456
175	1803	8443
176	1812	8428
177	1822	8416
178	1832	8405
179	1842	8391
180	1852	8380
181	1862	8371
182	1872	8357
183	1881	8345
184	1891	8332
185	1901	8321
186	1910	8306
187	1920	8296
188	1930	8285
189	1941	8274
190	1951	8265
191	1960	8251
192	1970	8240
193	1980	8226
194	1989	8213
195	1999	8202
196	2009	8192
197	2020	8183
198	2030	8172
199	2039	8159
200	2050	8150
201	2060	8139
202	2069	8127
203	2080	8117
204	2089	8105
205	2100	8096
206	2111	8087
207	2121	8076
208	2131	8065
209	2141	8054
210	2151	8044
