iter	RMSE
0	418214.6343
1	407563.3403
2	397966.4426
3	389691.8921
4	382803.2949
5	376579.8656
6	370888.0635
7	365901.9911
8	361833.2237
9	358403.714
10	355288.7293
11	351192.0082
12	348608.8677
13	345613.3909
14	343169.2502
15	341177.0952
16	339384.4672
17	337749.9029
18	336434.6355
19	333145.3683
20	329554.1817
21	328702.0215
22	324675.7256
23	323668.4297
24	320272.1813
25	319482.0776
26	318738.2639
27	317971.6284
28	317235.6473
29	316437.7052
30	315658.6242
31	313004.7646
32	310878.5281
33	310389.832
34	309987.4293
35	309588.5632
36	307820.3151
37	307435.4667
38	307073.4208
39	305616.4496
40	305320.2211
41	304982.1907
42	304679.1914
43	304445.8902
44	304186.8631
45	303700.881
46	302946.2252
47	301550.1781
48	301322.8973
49	300623.9281
50	299812.3017
51	299043.0089
52	298881.0779
53	298702.6168
54	298022.3715
55	297861.8277
56	297715.3426
57	297525.041
58	297257.3247
59	297084.3398
60	296988.8808
61	296514.9878
62	296356.4211
63	295837.7956
64	295335.482
65	295174.8875
66	295004.5634
67	294903.198
68	294675.3797
69	294553.464
70	294336.0622
71	293926.0866
72	293773.0544
73	293674.255
74	293530.1401
75	293316.8986
76	293189.7998
77	293082.5109
78	292960.2343
79	292767.7432
80	292666.1162
81	292450.2068
82	292357.4974
83	292280.0653
84	292190.6972
85	292095.0424
86	291951.3685
87	291712.2393
88	291650.0655
89	291573.0623
90	291399.6641
91	291316.4149
92	291227.9879
93	291153.378
94	291107.1075
95	291035.89
96	290962.5818
97	290910.2556
98	290834.3675
99	290478.1377
100	290401.6789
101	290347.1967
102	290233.5408
103	290175.6438
104	290099.1746
105	290014.2532
106	289803.2938
107	289747.9596
108	289648.7518
109	289598.9849
110	289492.4295
111	289372.8897
112	289324.8731
113	289282.4723
114	289209.1043
115	289171.8226
116	289092.9653
117	289039.2939
118	288947.0714
119	288873.5663
120	288815.612
121	288767.7737
122	288646.9437
123	288562.7044
124	288495.9441
125	288443.9839
126	288400.4927
127	288358.4962
128	288293.003
129	288238.7259
130	288198.2005
131	288147.1989
132	288075.2522
133	288036.6079
134	287981.2067
135	287859.6325
136	287784.771
137	287747.1162
138	287695.0964
139	287651.4495
140	287610.1021
141	287566.5888
142	287512.1382
143	287468.1897
144	287428.1932
145	287365.2999
146	287326.1941
147	287277.5367
148	287211.7106
149	287140.3537
150	287092.0522
151	287048.1055
152	287002.7498
153	286859.0117
154	286726.5625
155	286681.5351
156	286620.1303
157	286580.1601
158	286545.1796
159	286511.7969
160	286475.7864
161	286436.1327
162	286379.8817
163	286303.0513
164	286270.7436
165	286229.0506
166	286191.5169
167	286150.5138
168	286108.4192
169	286088.2417
170	286050.5542
171	285946.7509
172	285912.4293
173	285800.557
174	285775.9122
175	285745.3248
176	285718.7239
177	285668.3426
178	285582.7848
179	285548.5771
180	285524.2403
181	285488.662
182	285457.4138
183	285433.5941
184	285403.6959
185	285383.171
186	285354.5325
187	285327.3237
188	285292.9407
189	285256.8111
190	285229.5744
191	285176.7776
192	285130.2853
193	285096.9785
194	285072.3018
195	285014.5717
196	284987.8869
197	284963.976
198	284924.2318
199	284894.7823
200	284863.4622
201	284832.454
202	284800.3647
203	284781.9777
204	284751.9726
205	284716.726
206	284694.9538
207	284672.1668
208	284642.4807
209	284621.382
210	284582.8065
211	284563.1007
212	284517.7025
213	284487.4489
214	284401.3231
215	284362.94
216	284338.7843
217	284314.9487
218	284283.0985
219	284258.6954
220	284240.7735
221	284168.4105
222	284128.7899
223	284100.6188
224	284055.0646
225	284023.0008
226	283990.1622
227	283960.1528
228	283923.2837
229	283885.6168
230	283853.46
231	283830.6454
232	283769.351
233	283744.5981
234	283730.6868
235	283706.4694
236	283687.2534
237	283661.0974
238	283636.2308
239	283611.3596
240	283572.7314
241	283553.7717
242	283531.8986
243	283481.7492
244	283457.2035
245	283437.2999
246	283410.4816
247	283393.2093
248	283373.261
249	283348.6149
250	283334.3991
251	283293.2484
252	283268.9582
253	283246.5806
254	283223.9657
255	283201.1852
256	283137.7932
257	283109.6384
258	283081.6039
259	283064.6225
260	283050.4497
261	283030.212
262	283003.5708
263	282983.6506
264	282970.0738
265	282910.5928
266	282892.306
267	282873.5434
268	282821.1475
269	282801.8797
270	282783.984
271	282769.6667
272	282744.977
273	282731.2233
274	282703.0142
275	282689.5701
276	282673.4941
277	282665.736
278	282646.7114
279	282619.6846
280	282604.3447
281	282585.208
282	282576.2179
283	282563.3217
284	282544.7987
285	282528.8148
286	282515.2162
287	282472.4327
288	282422.323
