iter	Passed	Remaining
0	190	190025
1	223	111337
2	249	82811
3	269	67024
4	284	56541
5	297	49254
6	308	43826
7	320	39763
8	334	36847
9	346	34300
10	356	32070
11	369	30463
12	383	29098
13	399	28164
14	412	27118
15	425	26143
16	438	25368
17	453	24742
18	468	24182
19	484	23727
20	499	23270
21	513	22807
22	528	22449
23	544	22144
24	562	21951
25	583	21844
26	602	21710
27	619	21495
28	635	21281
29	651	21067
30	668	20887
31	683	20685
32	701	20554
33	718	20413
34	739	20393
35	754	20204
36	771	20080
37	787	19936
38	803	19791
39	821	19708
40	840	19650
41	859	19612
42	878	19554
43	898	19528
44	919	19511
45	951	19739
46	973	19738
47	1039	20608
48	1064	20662
49	1087	20668
50	1117	20786
51	1152	21013
52	1181	21107
53	1209	21180
54	1244	21390
55	1281	21608
56	1300	21515
57	1322	21473
58	1361	21722
59	1384	21697
60	1402	21589
61	1420	21498
62	1436	21369
63	1454	21276
64	1474	21203
65	1492	21126
66	1510	21033
67	1525	20902
68	1539	20776
69	1555	20672
70	1570	20549
71	1586	20449
72	1601	20335
73	1618	20248
74	1633	20151
75	1653	20102
76	1669	20015
77	1685	19921
78	1700	19822
79	1715	19726
80	1730	19628
81	1746	19551
82	1760	19451
83	1776	19367
84	1793	19301
85	1810	19243
86	1826	19169
87	1841	19085
88	1856	19004
89	1872	18932
90	1888	18863
91	1904	18800
92	1922	18749
93	1939	18689
94	1954	18622
95	1974	18589
96	1991	18540
97	2008	18485
98	2026	18443
99	2045	18408
100	2066	18392
101	2083	18345
102	2100	18288
103	2118	18253
104	2139	18235
105	2155	18183
106	2173	18136
107	2190	18089
108	2207	18047
109	2224	17996
110	2242	17958
111	2258	17905
112	2275	17861
113	2292	17815
114	2315	17819
115	2331	17763
116	2349	17734
117	2365	17681
118	2381	17628
119	2395	17569
120	2412	17528
121	2427	17470
122	2445	17439
123	2467	17428
124	2483	17386
125	2500	17346
126	2515	17294
127	2531	17248
128	2547	17201
129	2564	17159
130	2580	17116
131	2596	17075
132	2617	17062
133	2633	17017
134	2648	16969
135	2664	16928
136	2680	16884
137	2695	16837
138	2712	16800
139	2727	16755
140	2744	16717
141	2761	16685
142	2778	16651
143	2794	16614
144	2810	16571
145	2824	16520
146	2840	16482
147	2855	16435
148	2871	16402
149	2885	16353
150	2902	16317
151	2921	16297
152	2941	16283
153	2956	16242
154	2973	16212
155	2988	16170
156	3006	16142
157	3023	16110
158	3041	16085
159	3059	16060
160	3075	16028
161	3093	16002
162	3107	15959
163	3123	15920
164	3139	15885
165	3153	15843
166	3168	15805
167	3181	15758
168	3195	15713
169	3209	15671
170	3224	15632
171	3240	15601
172	3258	15576
173	3274	15544
174	3288	15502
175	3304	15470
176	3318	15430
177	3333	15394
178	3348	15357
179	3364	15325
180	3378	15285
181	3392	15249
182	3410	15227
183	3426	15194
184	3440	15158
185	3455	15124
186	3472	15095
187	3486	15058
